title,author,genre,language,isbn,summary,image
The Lover's Knot,Clare O'Donohue,fiction,en,9781440637582,"Book #1 of the Someday Quilts Mystery series In the tradition of Jennifer Chiaverini and Emilie Richards, a debut quilting mystery Nell Fitzgerald is thrilled when she receives a gorgeous handmade quilt in a lover's knot pattern from her grandmother Eleanor as an engagement gift. Her joy is short-lived, however, when her fiancé announces he's calling off the wedding. Heartbroken, 25-year-old Nell flees New York City for her grandmother's home in quaint Archers Rest. In this small town Eleanor's life revolves around her quilt shop, Someday Quilts, and the members of the shop's quilting circle. When the body of a local handyman known for his flirting is found in the quilt shop, murdered with a pair of quilting scissors, Nell finds herself drawn into the case, and drawn to the handsome police chief. As a pattern of clues begins to emerge, one of the prime suspects is Nell's ex-fiancé, whose arrival in Archers Rest seems suspicious. The ladies of the quilting circle continue to piece together their quilts as Nell unravels the mystery. For quilters and mystery lovers alike, The Lover's Knot is a delightful and promising debut.",http://books.google.com/books/content?id=jbhtLNrheUYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Atlantis,A. Grey,fiction,en,9780595245819,"Remnants of the lost continent of Atlantis have been found in the Caribbean off the island of Bimini. Atlantis—Remembrance of Things Past opens with this archaeological find that causes the main character, Lea Sitnalta—a modern-day, mysterious, high-powered, female executive of the Archaeology Magazine, Sojourne—to take a mysterious journey back into an ancient mystical, magical realm. The love story is set against the backdrop of war between Atlantis and Athens—as described by Plato—right before the Earth Changes and deluge occur—as described by Cayce—that destroy the continent of Atlantis. The novel contrasts the ancientcataclysm with the recurrent and fast approaching future tragedy of Earth Changes to this planet.",http://books.google.com/books/content?id=WSNgp_QO_6wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Black Oak 5,Charles L. Grant,fiction,en,9422099974066,"A LONG-LOST FRIEND Black Oak Security is a crack team of private investigators led by brilliant, enigmatic Ethan Proctor, who has just received a cryptic message from an old friend of his father. Proctor is being asked to look into a series of disappearances and brutal mutilations in the swampy woodlands northwest of Atlanta, Georgia. Some think the culprit is a real-life wolfman, A LONG-HIDDEN SECRET What Proctor doesn’t know is that the terror in the swampy backwoods is linked to something much more personal. It is an evil mystery that has haunted Proctor for months. And when he uncovers the truth, he will be lucky to survive it …",http://books.google.com/books/content?id=r3itCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Environment and Democratic Transition:,A. Vari,nature,en,9789401581202,"Recent democratization and the accompanied liberalization of the media in Central and Eastern Europe has brought the devastating environmental impacts of the intensive and careless industrialization of the last 40 years to the surface. Less is known, however, about the social, political and institutional background of environmental risk management which led to the present situation, as well as about recent changes. Environment and Democratic Transition: Policy and Politics in Central and Eastern Europe provides an overview of the mechanism of policy making, the role of the scientific community, the environmental movements, and the public in risk controversies in Central and Eastern Europe from the 1970s until 1991. The book brings together studies by leading social scientists from the East and the West who investigate the economic, legal, institutional, behavioral, social and political aspects of environmental policy. In addition to analyzing past histories, most contributions focus also on challenges, pitfalls and dilemmas that the region's policy makers and environmentalists must face during the period of transition and into the future.",http://books.google.com/books/content?id=GxYrBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Computer Supported Risk Management,Giampiero Beroggi,nature,en,9789401102452,"Advances in information technology provide opportunities for the development of computer systems that support risk managers in complex tasks. Leading experts report on the potentials and limitations concerning the use of computer systems in risk management. Their reports are based on many years of experience in their fields which include: risk analysis, systems engineering, geographic information systems, decision support systems, human--machine systems, and psychology. The book addresses four major issues in computer supported risk management: Conceptual aspects: the role, design, and use of computers in risk management Planning and policy analysis: transportation, equity analysis, emergency management, group decision making Operational decision making: nuclear power monitoring, emergency response, public safety warning, satellite tracking Commercial applications: GIS from IIASA, InterClair from IAEA, EPA software, cleanup decision support software survey. This book is meant for researchers, who will find the emerging issues in risk management that are motivated by the encounter of new tasks and novel technology; practitioners who will have descriptions and references of the state-of-the-art models and software; and students who will learn the basic concepts needed to develop advanced information and decision support systems in risk management.",http://books.google.com/books/content?id=Fy_7CAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Air Pollution Processes in Regional Scale,Dimitrios Melas,nature,en,9789400710719,"An understanding of long-range transport of air pollutants in the atmosphere requires a knowledge of the relevant atmospheric dynamic and chemical processes active at the regional scale as well as the temporal and spatial distribution of emissions. Numerical modeling is the most efficient way to determine the atmospheric transport, photochemistry and deposition pathways. The book therefore discusses the physical and chemical processes that determine regional air pollution and presents the relevant modeling techniques to describe the different atmospheric processes that are active at that scale.",http://books.google.com/books/content?id=ZNvqCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Pearls and Pebbles,Catharine Parr Traill,nature,en,9781459718364,"How fitting to close out the 20th century with a brand new edition of Pearls & Pebbles by the noted chronicler of pioneer life, Catharine Parr Traill. Published in 1894, Pearls & Pebbles is an unusual book with a lasting charm, in which the author’s broad focus ranges from the Canadian natural environment to early settlement of Upper Canada. Through Traill’s eyes, we see the life of the pioneer woman, the disappearance of the forest, and the corresponding changes in the life of the Native Canadians who have inhabited that forest. Editor Elizabeth Thompson reminds us of the significance of the writings by Traill, the aged author/naturalist, who felt that the hours spent gathering the pebbles and pearls from her notebooks and journals written in the backwoods of Canada was not time wasted.",http://books.google.com/books/content?id=hHmRPYQa_bQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Indians, Markets, and Rainforests",Ricardo Godoy,nature,en,9780231505031,"This book addresses two important and related questions: does participation in a market economy help or hurt indigenous peoples and how does it affect the conservation of tropical rainforest flora and fauna? Oddly, there have been few quantitative studies that have addressed these issues. Ricardo Godoy's research takes an important step toward rectifying this oversight by investigating five different lowland Amerindian societies of tropical Latin America—all of which are experiencing deep changes as they modernize. Godoy examines the effect of markets on a broad range of areas including health, conservation of flora and fauna, leisure, folk knowledge, reciprocity, and private time preference. He concludes that, contrary to considerable anthropological theory, the effect of markets on the quality of life and the rainforest are often unclear or benign. Godoy uses multivariate techniques to examine the changes modernization has had on many indicators of the quality of life and the environment and concludes that the seeds of socioeconomic differentiation may already lie dormant in simple economies. The impact of modernization on lowland Amerindians is a topic of great concern to anthropologists, researchers, and policymakers in developing nations, and this book is a significant contribution to the debate about the likely future of indigenous people.",http://books.google.com/books/content?id=Bp7RDEZyxWcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Traditional use of plant resources by bankariya ethnic group in Makawanpur district, central Nepal",Y. Uprety,nature,en,9783638049412,"Scientific Study from the year 2008 in the subject Environmental Sciences, grade: none, Vrije University Brussel (Human Ecology Department), 32 entries in the bibliography, language: English, abstract: An ethonobotanical study was conducted to document the traditional use of plants and to find out the potential economic value of plants used by the indigenous ‘Bankariya’ people of Central Nepal. Personal interviews and group discussions were conducted to gather information on the indigenous knowledge of this ethnic group. A checklist of ‘categories of plant use’ was developed and used to identify, categorize and document plant species in the Twanrakhola community. Altogether, 109 plant species belonging to 49 families and 84 genera used for a wide range of purposes in the community are recorded. The people are highly dependent on forest and forest products. Because of their long experience with forests, the ‘Bankariya’ people have acquired rich knowledge about the utilization of plant resources in various ways. The Twanrakhola community harbours a high diversity of medicinal plants and wild edible plants. Despite the gradual economic and socio-cultural transformation in the life style of the community members because of globalisation, the Bankariya people still possess substantial knowledge of plants and their uses. Sustainable harvesting of and trade in medicinal and wild edible plants could be a significant source of subsistence and income generation for the local population.",http://books.google.com/books/content?id=_fjaJ6XXAAQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Evolutionary Ecology,Anne E. Magurran,nature,en,9780198527855,"The Trinidadian guppy represents a uniguely tractable vertebrate system, which has raised key questions in evolutionary ecology and supplied many of the answers. This work discusses this study and incorporates significant new findings and insights.",http://books.google.com/books/content?id=mDYsoQFIBrMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Sound Approach to Birding,Mark Constantine,nature,en,9789081093316,"""Combining anecdote, scientific theory and practical experience the Sound Approach to birding is a step-by-step guide through tone, pitch, rhythm, reading sonagrams, acoustics, and using sounds to age and sex birds."" -- Back cover.",http://books.google.com/books/content?id=dEpZV0ke3lMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Nuclear War Survival Skills,Cresson H. Kearny,nature,en,9781510702059,"A field-tested guide to surviving a nuclear attack, written by a revered civil defense expert. This edition of Cresson H. Kearny’s iconic Nuclear War Survival Skills (originally published in 1979), updated by Kearny himself in 1987 and again in 2001, offers expert advice for ensuring your family’s safety should the worst come to pass. Chock-full of practical instructions and preventative measures, Nuclear War Survival Skills is based on years of meticulous scientific research conducted by Oak Ridge National Laboratory. Featuring a new introduction by ex-Navy SEAL Don Mann, this book also includes: instructions for six different fallout shelters, myths and facts about the dangers of nuclear weapons, tips for maintaining an adequate food and water supply, a foreword by “the father of the hydrogen bomb,” physicist Dr. Edward Teller, and an “About the Author” note by Eugene P. Wigner, physicist and Nobel Laureate. Written at a time when global tensions were at their peak, Nuclear War Survival Skills remains relevant in the dangerous age in which we now live.",http://books.google.com/books/content?id=og8QCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
This Sacred Earth,Roger S. Gottlieb,nature,en,9780415943604,Table of contents,http://books.google.com/books/content?id=qtJp7aAZV_oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
All That I Can Be,Sally K. Albrecht,music,en,9781457418471,"Designed to help build character and integrity in your young singers, All That I Can Be is a vibrant collection of 15 unison songs by the well-known writing team of Sally K. Albrecht and Jay Althouse. Teachers as well as parents will enjoy the lessons that can be learned through this collection of songs. The texts reinforce such concepts as teamwork, punctuality, friendship, respect, and telling the truth. Set in a wide variety of musical styles, the songs may be sung separately or together as a 30-minute program. These songs will teach all who sing and all who listen how important it is to be All That I Can Be! The Teacher's Handbook includes reproducible song sheets and word games, programming ideas, and suggestions for additional activities. Recommended for grades 2-7.",http://books.google.com/books/content?id=n6mrVRIXo5QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Understanding Popular Music,Roy Shuker,music,en,9781134564798,"Understanding Popular Music is a comprehensive introduction to the history and meaning of popular music. It begins with a critical assessment of the different ways in which popular music has been studied and the difficulties and debates which surround the analysis of popular culture and popular music. Drawing on the recent work of music scholars and the popular music press, Shuker explores key subjects which shape our experience of music, including music production, the music industry, music policy, fans, audiences and subcultures, the musician as 'star', music journalism, and the reception and consumption of popular music. This fully revised and updated second edition includes: *case studies and lyrics of artists such as Shania Twain, S Club 7, The Spice Girls and Fat Boy Slim * the impact of technologies including on-line delivery and the debates over MP3 and Napster * the rise of DJ culture and the changing idea of the 'musician' * a critique of gender and sexual politics and the discrimination which exists in the music industry * moral panics over popular music including the controversies surrounding artists such as Marilyn Manson and Ice-T * a comprehensive discography, guide to further reading and directory of websites.",http://books.google.com/books/content?id=hIEJyToJYl0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
David Braham,John Franceschina,music,en,9781135358525,"First Published in 2003. Routledge is an imprint of Taylor & Francis, an informa company.",http://books.google.com/books/content?id=Xhy3DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Strictly Classics, Book 1",John O'Reilly,music,en,9781457409387,"This flexible new collection of string ensembles will inspire chamber music performance while introducing beginners to some of the greatest classic themes ever written. Correlated with Strictly Strings Book 1, Strictly Classics contains 18 ensembles spanning four centuries of music. Its flexible format provides performance opportunities for solo (with piano accompaniment), duet and trio up through full string ensemble. Strictly Classics, Book 2 introduces 14 additional ensemble pieces which correlate with Strictly Strings, Book 2.",http://books.google.com/books/content?id=-1l6AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Complete Works, Volume I",Robert Schumann,music,en,9781457476822,"Complete Works, Clara Schumann Edition, Op. 1 - Op. 8, for piano.",http://books.google.com/books/content?id=kN7dsW3aLLoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Ashley Judd Crying On The Inside,James L. Dickerson,music,en,9780857125033,"In Crying on the Inside, veteran author and journalist James L. Dickerson recounts Ashely Judd's difficult childhood in Kentucky and California, her troubled relationships with her mother and sister, her big-screen breakthrough in 1993's Ruby in Paradise, her life-long struggle with depression, her off-screen romances and her marriage. Discover the inside story behind her roles in Heat, Kiss the Girls, High Crimes and The Divine Secrets of the Ya-Ya Sisterhood. Journey with her as she makes the transition from actress to social activist, addressing the General Assembly of the United Nations on matters of the greatest importance. James L. Dickerson is an award-winning writer, mental health professional, and author of the music histories Mojo Triangle and Memphis Going Down. As a biographer he has authored books on Nicole Kidman, Faith Hill, jazz legend Lil Hardin Armstrong, and Elvis Presley’s guitarist and manager, Scotty Moore. An award winning newspaper editorial writer, he is also co-author of the civil rights history, Devil’s Sanctuary: An Eyewitness History of Mississippi Hate Crimes.",http://books.google.com/books/content?id=MkTHDgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
1812 Overture,Peter Ilich Tchaikovsky,music,en,9780486428567,"Commissioned to mark the 1882 All-Russia Exhibition of Arts and Crafts, this extraordinarily popular work was premiered at the consecration of the Kremlin's Cathedral of the Redeemer--the monument built to commemorate the Russian defeat of the Napoleonic invasion in 1812. A colorful musical tapestry of nationalistic themes and battle scenes, performances of the ""1812"" — with cannons thundering and bells pealing — have remained an electrifying outdoor event at patriotic concerts worldwide.",http://books.google.com/books/content?id=FFjDkoF53DYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Il Natale dei Beatles,Renzo Stefanel,music,it,9788809848535,"Uno sguardo strano e curioso al pianeta Beatles, isolando una decina di storie vere, gioiose, drammatiche o buffe, ambientate nel cuore dell’inverno, dagli anni ‘50 alla fine dei ‘60. I Beatles che sgomitano come Quarrymen, che vengono espulsi dalla Germania perché non in regola con i permessi di lavoro, che il 1° gennaio 1962 tentano un provino con la Decca (bocciati!), che diventano famosi e per due Natali di fila organizzano un “Beatles Christmas Show” in cui cantano, suonano e recitano; che per la sera di Santo Stefano del 1967 girano un film TV che avrà un notevole e antipatico insuccesso, il “Magical Mystery Tour”. Completa il libro una appendice con elenchi di canzoni natalizie eseguite dai quattro o a lorodedicate, il racconto dettagliato di come si svolgevano i “Christmas Show” e la descrizione degli appositi “Christmas Records” che i quattro ragazzi di Liverpool prepararono ogni anno per gli iscritti al loro fan club.",http://books.google.com/books/content?id=xacoDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Oxford Handbook of Sound Studies,Trevor Pinch,music,en,9780195388947,"Written by the world's leading scholars and researchers in the emerging field of sound studies, The Oxford Handbook of Sound Studies offers new and fully engaging perspectives on the significance of sound in its material and cultural forms. The book considers sounds and music as experienced in such diverse settings as shop floors, laboratories, clinics, design studios, homes, and clubs, across an impressively broad range of historical periods and national and cultural contexts.Science has traditionally been understood as a visual matter, a study which has historically been undertaken with optical technologies such as slides, graphs, and telescopes. This book questions that notion powerfully by showing how listening has contributed to scientific practice. Sounds have always been a part of human experience, shaping and transforming the world in which we live in ways that often go unnoticed. Sounds and music, the authors argue, are embedded in the fabric of everyday life, art, commerce, and politics in ways which impact our perception of the world. Through an extraordinarily diverse set of case studies, authors illustrate how sounds -- from the sounds of industrialization, to the sounds of automobiles, to sounds in underwater music and hip-hop, to the sounds of nanotechnology -- give rise to new forms listening practices. In addition, the book discusses the rise of new public problems such as noise pollution, hearing loss, and the ""end"" of the amateur musician that stem from the spread and appropriation of new sound- and music-related technologies, analog and digital, in many domains of life.Rich in vivid and detailed examples and compelling case studies, and featuring a companion website of listening samples, this remarkable volume boldly challenges readers to rethink the way they hear and understand the world.",http://books.google.com/books/content?id=KuRfLG0IedYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Professional Piano Teaching, Volume 1 - Elementary Levels",Jeanine M. Jacobson,music,en,9781470632755,"Professional Piano Teaching offers a practical guide to the art of piano teaching. Volume 1, now available as an updated second edition, is an excellent introduction to the profession of teaching piano. This revised second edition has been expanded to include chapters on teaching adult students and teaching popular, sacred, and other familiar music. Designed to serve as a basic text for a first-semester or lower-division piano pedagogy course, it provides an overview of learning principles and a thorough approach to essential aspects of teaching elementary-level students. Special features include discussions on how to teach, not just what to teach; numerous musical examples; chapter summaries; and suggested projects for new and experienced teachers. Topics: * The Art of Professional Piano Teaching * Principles of Learning * Beginning Methods * Teaching Beginners and Elementary Students * Teaching Rhythm and Reading * Teaching Technique and Musical Sound Development * Elementary Performance and Study Repertoire * Developing Musicality in Elementary Students * Group Teaching * Teaching Preschoolers * Teaching Adults * Teaching Popular, Sacred, and Other Familiar Music * The Business of Piano Teaching * Evaluation of Teaching",http://books.google.com/books/content?id=dRq2CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Loss of Confidence,David Brian Robertson,history,en,9780271044866,"As the oil shortages, inflation, and unemployment of the 1970s disrupted American lives and the Watergate scandal rocked the presidency, faith in the future of the nation and its leaders was severely damaged. This volume, which is the product of a unique collaboration of distinguished scholars from history and political science, offers a probing analysis of the causes, processes, and consequences of this erosion of faith in public solutions to our country's problems. At the beginning of the decade, a confident American public and its leaders still embraced the government activism that was the legacy of the New Deal. But grave doubts about the efficacy of public policy&—fueled by Watergate, Vietnam, stagflation, energy crises, and intensely controversial social policies&—undermined this public trust as the decade wore on, until by the end tax revolts were breaking out across the country. Describing government as the problem, not the solution, Ronald Reagan broke with tradition to set a political and policy agenda that has been dominant ever since. These experts from two disciplines bring their special insights to bear in dissecting the key developments of this decade that have transformed American politics in the last quarter of the century. The contributors are Ballard C. Campbell, Joseph Hinchliffe, J. David Hoeveler, Sidney M. Milkis, Alice O&’Connor, Paul J. Quirk. David Brian Robertson, and John T. Woolley. Like the other titles in Issues in Policy History, this book reprints a special issue of The Journal of Policy History.",http://books.google.com/books/content?id=L6sPQGgMSKMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A History of the English Poor Law in Connection with the State of the Country and the Condition of the People,George Nicholls,history,en,9781584776918,"Reprint of the final edition containing revisions made by the author and a biography, along with the supplementary volume by Thomas Mackay. Nicholls [1781-1865] was a pioneering poor-law reformer and administrator. While Great Britain's Poor Law Commissioner he drafted the Irish Poor-Law Act (1832). One of the first to assert that relief bred a culture of dependency and a resistance to work, he advocated the abolition of relief except as a last resort. In addition to the present study he wrote A History of the Scotch Poor Law (1856) and A History of the Irish Poor Law (1856), both of which are available in reprint editions by The Lawbook Exchange, Ltd. Like his other studies, this one relates the evolution of poor laws since the medieval era to economic, social and political history. Notably sophisticated works, they were held in high regard by Sir Leslie Stephen and F.W. Maitland.",http://books.google.com/books/content?id=fnxN8C87l9MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Organizations, Gender and the Culture of Palestinian Activism in Haifa, Israel",Elizabeth Faier,history,en,9781135411169,"This book, based on 25 months of anthropological fieldwork, examines activists and activism in Palestinian nongovernmental organizations in Israel. It concentrates on the ways organizations enable certain processes of self-identification based on activists' constructions of modernity.",http://books.google.com/books/content?id=iWnbAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Bedouin Justice,Austin Kennett,history,en,9780521230834,An introduction to the traditions of Bedouin law intended to dispel myths that have developed in western society.,http://books.google.com/books/content?id=6GuhlvJRB4oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Zahlen,Heinz-Dieter Ebbinghaus,history,de,9783642581557,"Mathematik zu erlernen und zu lehren gilt als schwierig. Die Begriffe reelle und komplexe Zahlen oder die Kreiszahl Pi sind zwar vielen bekannt, aber nur wenige wissen, was dahinter steckt. Leser, die erfahren wollen, was sich wirklich dahinter verbirgt, werden in diesem Band an die Magie der Mathematik herangeführt: „Das Lesen ist ein Genuß, den man sich nicht entgehen lassen sollte."" (Jahresbericht der Deutschen Mathematiker-Vereinigung).",http://books.google.com/books/content?id=oHj3BQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"""Rabbatz der Halbstarken""",Wiebke Westphal,history,de,9783656155560,"Studienarbeit aus dem Jahr 2010 im Fachbereich Geschichte Europa - Deutschland - Neuere Geschichte, Note: 1,0, Georg-August-Universität Göttingen (Seminar für mittlere und neuere Geschichte), Veranstaltung: ""Nierentisch und Tütenlampe"" - Zur Alltagsgeschichte der fünfziger Jahre, Sprache: Deutsch, Abstract: Wer heute einen Blick auf die Bundesrepublik der 50er Jahre wirft, läuft leicht Gefahr, die Dekade angesichts heiterer Heimatfilme wie dem ""Schwarzwaldmädel"" aus dem Jahr 1950, strahlend weißer Persil-Hemden in den Illustrierten und fleißiger Hausfrauen wie ""Klementine"" aus der Ariel-Fernsehwerbung, nostalgisch als kleinbürgerliche Idylle zu verklären. Natürlich war ein Teil der 50er Jahre durch Nierentische und Tütenlampen geprägt – diese Elemente waren jedoch niemals die bestimmenden, sondern lediglich ein kleiner Ausschnitt aus einer viel breiteren Palette. Ein Blick auf die Gesellschaft der Bundesrepublik in den 50er Jahren ist immer auch ein Blick auf eine Gesellschaft ""nach der Katastrophe"". Nach horrenden Verlusten an Mensch und Material im Zweiten Weltkrieg leiteten die 50er die Rückkehr zu ""geordneten und gesitteten Verhältnissen"" ein. Die Wohnungsnot wurde langsam beseitigt, die Lebensbedingungen allmählich verbessert. Ehemalige Trümmerkinder, die jahrelang die Freiräume und Freiheiten der großstädtischen Ruinenlandschaften als ""Abenteuerspielplätze"" genutzt und genossen hatten, wurden im Zuge einer konservativen Werterestauration wieder verstärkt in Familie und Gesellschaft eingebunden. Die CDU/CSU erreichte unter Konrad Adenauer bei den Bundestagswahlen 1957, bislang einmalig in der Nachkriegsgeschichte, die absolute Mehrheit der Stimmen mit einer Kampagne, die den Namen ""Keine Experimente!"" trug – mehr als bezeichnend für den Zeitgeist. Und inmitten dieser neu und lieb gewonnenen Sicherheit erschien scheinbar aus dem Nichts eine Generation ""völlig verjazzter und versporteter"" Jugendlicher auf der Bildfläche und versetzte die Bevölkerung in Angst und Schrecken: ""Halbstarke"", unorganisierte Gruppierungen Halbwüchsiger, ""die in der Öffentlichkeit durch normwidriges, sinn- und nutzloses Randalieren friedensstörend auffallen und primitive Antriebserlebnisse befriedigen wollen.""",http://books.google.com/books/content?id=eTin1Yogkv0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Dwellers on the Nile,E. A. Wallis Budge,history,en,9780486169040,"A renowned expert introduces ancient Egypt's manners and customs, from the cradle to the grave and beyond. Nearly 50 illustrations enhance accessible discussions of food, work and play, jewelry, hieroglyphics, literature, religion, more.",http://books.google.com/books/content?id=RUYaDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Jagd in der Neuzeit - Wandel von ritterlicher Tugend zum adeligen Vergnügen,Farina Otto,history,de,9783656267133,"Studienarbeit aus dem Jahr 2012 im Fachbereich Geschichte Europa - and. Länder - Neuzeit, Absolutismus, Industrialisierung, Note: 1,3, Gottfried Wilhelm Leibniz Universität Hannover, Veranstaltung: Tierhaltung in der frühen Neuzeit, Sprache: Deutsch, Abstract: Die Jagd wird von dem Zeitpunkt an, an dem sie nicht mehr als eine lebenserhaltende Notwendigkeit angesehen wird, vor allem von den Privilegierten ausgeübt. Die Auseinandersetzungen und Interessenskonflikte zwischen bäuerlichen Bevölkerung und Adel haben sich seit dem Mittelalter, im Bezug auf die Jagd, verschärft. Regelungen und Verbote seitens des Adels an die Bauern häuften sich und erschwerten ein friedliches Zusammenleben. Der Themenschwerpunkt, weshalb sich der Adel das Vorrecht zur Jagd sicherte und welche Belastungen die Untertanen dadurch erdulden mussten, sollen in der vorliegenden Arbeit untersucht werden. Ich versuche einen Überblick zu geben, auf welche Ansprüche sich das Jagdrecht gründete, warum der Adel es für sich in Anspruch nahm und wie es sich in der frühen Neuzeit entwickelte. Die Bedeutung der Jagd für den Adel und welche Interessen mit der Durchführung verfolgt werden, soll ebenso behandelt werden, wie die mit der Jagd verbundenen Belastungen, wie Frondienste und Wildschäden. Die verschiedenen Jagdmittel und der genaue Aufbau einer Jagd werden hier nur nebenbei betrachtet. Die verschiedenen Formen und Ausprägungen von Jagdarten werde ich nicht weiter beleuchten.",http://books.google.com/books/content?id=IpO6lKuhWmgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Illustrierte Geschichte der Medizin,Wolfgang U. Eckart,history,de,9783642126109,"Mit diesem Buch bekommen Sie einen kurzweiligen und fundierten Überblick über die Meilensteine der Medizin. Nach einem Abriss über die Medizingeschichte von der Antike bis zur Aufklärung werden nachvollziehbar und nah die wegleitenden Entwicklungen seit der Französischen Revolution fokussiert. Der Autor nimmt Sie mit in den Wandel, in 18 Kapiteln stellt er die Entwicklungen in den zeitlichen Kontext. Zahlreiche Bilder und informative Exkurse beschreiben den Fortschritt anschaulich vor dem historischen Hintergrund. Das Buch ist keine stumpfe chronologische Abhandlung, jedes Kapitel lädt zum Schmökern ein, liefert spannende Geschichte, verbindet Neues und Bekanntes und erschließt dem Leser manchen Zusammenhang auf neue Weise. Ideal als Geschenk, zum Schmökern und zum Vertiefen.",http://books.google.com/books/content?id=AUslBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Still Fighting the Civil War,David Goldfield,history,en,9780807147948,"Newcomers to the South often remark that southerners, at least white southerners, are still fighting the Civil War -- a strange preoccupation considering that the war formally ended more than one hundred and thirty-five years ago and fewer than a third of southerners today can claim an ancestor who actually fought in the conflict. But even if the war is far removed both in time and genealogy, it survives in the hearts of many of the region's residents and often in national newspaper headlines concerning battle flags, racial justice, and religious conflicts. In this sweeping narrative of the South from the Civil War to the present, noted historian David Goldfield contemplates the roots of southern memory and explains how this memory has shaped the modern South both for good and ill. He candidly discusses how and why white southern men fashioned the myths of the Lost Cause and the Redemption out of the Civil War and Reconstruction and how they shaped a religion to canonize the heroes and reify the events of those fated years. Goldfield also recounts how blacks and white women eventually crafted a different, more inclusive version of southern history and how that new vision has competed with more traditional perspectives. As Goldfield shows, the battle for southern history, and for the South, continues -- in museums, public spaces, books, state legislatures, and the minds of southerners. Given the region's growing economic power and political influence, the outcome of this war is more than a historian's preoccupation; it is of national importance. Integrating history and memory, religion, race, and gender, Still Fighting the Civil War will help newcomers, longtime residents, and curious outsiders alike attain a better understanding of the South and each other.",http://books.google.com/books/content?id=GOpJQ5ud_2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Augustine's Confessions,William E. Mann,religion,en,9780742570986,"Unique in all of literature, the Confessions combines frank and profound psychological insight into Augustine's formative years along with sophisticated and beguiling reflections on some of the most important issues in philosophy and theology. The essays contained in this volume, by some of the most distinguished recent and contemporary thinkers in the field, insightfully explore Augustinian themes not only with an eye to historical accuracy but also to gauge the philosophical acumen of Augustine's reflections.",http://books.google.com/books/content?id=BUM2AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Doing Justice to Mercy,Jonathan Rothchild,religion,en,9780813926421,"The schools of divinity and law at the University of Chicago sponsored a three-day conference (no date cited) to explore the relationship of mercy to justice in systems of criminal justice. A glaring context of the discussion was the massive expansion of the US prison system since the 1970s, calling into question the fundamental purpose of the criminal justice system. Some of the 12 papers consider case studies, such as domestic violence, sentencing, and international law. Others look at approaches to the question, among them political theology, phenomenological, and social ethics.",http://books.google.com/books/content?id=bAr6oQQIlT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
